Hand 2 landmarks:
0.284364 0.610028 0.000001
0.323304 0.582733 -0.007513
0.387205 0.576777 -0.033964
0.437545 0.596901 -0.060636
0.454955 0.621339 -0.086602
0.371456 0.548184 -0.076105
0.430966 0.528928 -0.111778
0.471098 0.517332 -0.135633
0.504019 0.505406 -0.154273
0.357414 0.565674 -0.092865
0.431548 0.550820 -0.138180
0.476615 0.535959 -0.161374
0.509058 0.523257 -0.178114
0.344656 0.593925 -0.104412
0.440082 0.607338 -0.130748
0.435135 0.618553 -0.115121
0.415080 0.621295 -0.101791
0.340390 0.626609 -0.117518
0.416213 0.636309 -0.130338
0.408874 0.636535 -0.115382
0.387154 0.632325 -0.103060

