Hand 2 landmarks:
0.643356 0.608684 0.000001
0.631721 0.570232 0.002217
0.573006 0.539024 -0.013772
0.503270 0.544766 -0.029774
0.458980 0.554061 -0.047239
0.588294 0.507381 -0.060035
0.506459 0.478646 -0.087941
0.462855 0.458937 -0.104626
0.425158 0.443275 -0.116048
0.581239 0.535813 -0.075451
0.488162 0.499122 -0.105005
0.431709 0.478673 -0.122960
0.392865 0.463803 -0.137178
0.569404 0.566324 -0.084745
0.473677 0.542467 -0.104087
0.488339 0.559174 -0.089830
0.512622 0.567237 -0.077018
0.558668 0.595067 -0.093118
0.488260 0.574113 -0.104221
0.505023 0.583172 -0.088132
0.529280 0.588735 -0.073592

