Hand 1 landmarks:
0.676517 0.590753 0.000000
0.658015 0.551063 -0.000217
0.603695 0.525901 -0.014770
0.550210 0.531390 -0.028114
0.512600 0.544446 -0.045159
0.602763 0.504275 -0.057628
0.521500 0.483544 -0.086536
0.472182 0.467083 -0.106641
0.429793 0.454249 -0.119497
0.596362 0.531133 -0.069571
0.505299 0.513407 -0.088471
0.457596 0.511364 -0.093968
0.424600 0.508746 -0.099433
0.590044 0.561716 -0.077886
0.502200 0.557994 -0.094072
0.516724 0.567731 -0.082316
0.543878 0.570940 -0.072014
0.586845 0.594114 -0.085556
0.522810 0.584919 -0.099164
0.540286 0.589024 -0.085811
0.567032 0.589957 -0.072734

